========== Nonogram Experiments Start ==========


========== Nonogram on 7x7 board with 9k/1k dataset ==========


python main.py --game_size 7 --wandb --gpu 3 --seed 0
Reading ../data/nonogram/nonograms_7.csv...
[nonogram-7] use 9000 for training and 1000 for testing
Using GPU 3
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           77.67          0/1000         38056/49000    
2     0.10           83.34          1/1000         40837/49000    
3     1.20           85.94          12/1000        42113/49000    
4     2.00           87.56          20/1000        42905/49000    
5     3.40           88.50          34/1000        43365/49000    
6     4.60           89.04          46/1000        43632/49000    
7     5.30           89.25          53/1000        43731/49000    
8     6.80           89.66          68/1000        43931/49000    
9     6.80           90.12          68/1000        44157/49000    
10    7.90           90.70          79/1000        44444/49000    
11    8.00           90.74          80/1000        44464/49000    
12    11.60          92.01          116/1000       45087/49000    
13    15.20          92.81          152/1000       45476/49000    
14    15.30          92.72          153/1000       45435/49000    
15    16.60          92.97          166/1000       45557/49000    
16    21.50          93.86          215/1000       45992/49000    
17    22.60          94.07          226/1000       46094/49000    
18    20.20          93.93          202/1000       46028/49000    
19    27.70          94.96          277/1000       46528/49000    
20    31.30          95.08          313/1000       46587/49000    
21    31.60          95.72          316/1000       46901/49000    
22    36.40          95.93          364/1000       47008/49000    
23    39.00          96.25          390/1000       47163/49000    
24    46.40          96.61          464/1000       47339/49000    
25    53.60          96.99          536/1000       47526/49000    
26    58.80          97.49          588/1000       47770/49000    
27    57.30          97.29          573/1000       47674/49000    
28    55.40          97.34          554/1000       47697/49000    
29    64.00          97.91          640/1000       47977/49000    
30    66.00          98.04          660/1000       48040/49000    
31    68.20          98.18          682/1000       48106/49000    
32    70.10          98.27          701/1000       48153/49000    
33    64.90          98.22          649/1000       48127/49000    
34    72.80          98.53          728/1000       48280/49000    
35    71.60          98.35          716/1000       48191/49000    
36    79.80          98.77          798/1000       48399/49000    
37    79.70          98.80          797/1000       48413/49000    
38    84.60          99.00          846/1000       48511/49000    
39    82.20          98.90          822/1000       48459/49000    
40    86.60          99.09          866/1000       48555/49000    
41    82.90          99.00          829/1000       48510/49000    
42    82.50          98.98          825/1000       48500/49000    
43    86.40          99.11          864/1000       48565/49000    
44    84.80          99.11          848/1000       48562/49000    
45    84.50          99.02          845/1000       48522/49000    
46    89.10          99.30          891/1000       48655/49000    
47    88.20          99.32          882/1000       48665/49000    
48    89.50          99.37          895/1000       48689/49000    
49    90.90          99.42          909/1000       48714/49000    
50    88.60          99.44          886/1000       48724/49000    
51    86.20          99.32          862/1000       48666/49000    
52    91.60          99.48          916/1000       48745/49000    
53    89.40          99.42          894/1000       48717/49000    
54    91.70          99.27          917/1000       48640/49000    
55    92.40          99.38          924/1000       48697/49000    
56    91.20          99.33          912/1000       48672/49000    
57    91.50          99.51          915/1000       48762/49000    
58    91.20          99.48          912/1000       48744/49000    
59    94.10          99.50          941/1000       48755/49000    
60    93.00          99.56          930/1000       48785/49000    
61    94.40          99.64          944/1000       48822/49000    
62    93.40          99.47          934/1000       48742/49000    
63    92.60          99.49          926/1000       48750/49000    
64    93.80          99.59          938/1000       48801/49000    
65    93.40          99.48          934/1000       48746/49000    
66    94.10          99.63          941/1000       48819/49000    
67    94.40          99.62          944/1000       48812/49000    
68    92.50          99.52          925/1000       48766/49000    
69    92.30          99.64          923/1000       48825/49000    
70    96.30          99.62          963/1000       48816/49000    
71    95.20          99.73          952/1000       48869/49000    
72    95.40          99.63          954/1000       48817/49000    
73    96.60          99.66          966/1000       48831/49000    
74    93.30          99.55          933/1000       48779/49000    
75    95.60          99.73          956/1000       48866/49000    
76    95.80          99.76          958/1000       48882/49000    
77    95.70          99.72          957/1000       48863/49000    
78    97.00          99.70          970/1000       48853/49000    
79    95.70          99.76          957/1000       48884/49000    
80    94.40          99.69          944/1000       48847/49000    
81    95.80          99.73          958/1000       48869/49000    
82    96.60          99.71          966/1000       48859/49000    
83    96.60          99.81          966/1000       48905/49000    
84    94.80          99.64          948/1000       48822/49000    
85    96.50          99.64          965/1000       48822/49000    
86    95.70          99.54          957/1000       48776/49000    
87    96.50          99.80          965/1000       48900/49000    
88    96.40          99.64          964/1000       48824/49000    
89    95.80          99.69          958/1000       48847/49000    
90    95.10          99.70          951/1000       48852/49000    
91    94.50          99.56          945/1000       48782/49000    
92    97.60          99.78          976/1000       48890/49000    
93    96.40          99.69          964/1000       48849/49000    
94    97.20          99.70          972/1000       48855/49000    
95    95.20          99.70          952/1000       48855/49000    
96    96.10          99.78          961/1000       48894/49000    
97    96.90          99.77          969/1000       48885/49000    
98    97.40          99.78          974/1000       48894/49000    
99    97.20          99.72          972/1000       48864/49000    
100   95.00          99.70          950/1000       48855/49000    
101   96.10          99.61          961/1000       48808/49000    
102   94.90          99.62          949/1000       48815/49000    
103   96.30          99.69          963/1000       48849/49000    
104   97.20          99.78          972/1000       48890/49000    
105   97.60          99.76          976/1000       48881/49000    
106   97.30          99.71          973/1000       48858/49000    
107   96.50          99.70          965/1000       48855/49000    
108   97.00          99.72          970/1000       48862/49000    
109   97.70          99.77          977/1000       48889/49000    
110   97.20          99.70          972/1000       48852/49000    
111   96.90          99.68          969/1000       48845/49000    
112   96.10          99.68          961/1000       48842/49000    
113   96.60          99.64          966/1000       48824/49000    
114   96.40          99.64          964/1000       48825/49000    
115   96.50          99.80          965/1000       48900/49000    
116   96.40          99.68          964/1000       48844/49000    
117   97.40          99.85          974/1000       48927/49000    
118   96.00          99.71          960/1000       48858/49000    
119   97.60          99.76          976/1000       48883/49000    
120   97.10          99.77          971/1000       48888/49000    
121   96.50          99.73          965/1000       48870/49000    
122   97.30          99.79          973/1000       48895/49000    
123   96.90          99.72          969/1000       48864/49000    
124   97.10          99.69          971/1000       48850/49000    
125   97.20          99.75          972/1000       48879/49000    
126   95.70          99.61          957/1000       48811/49000    
127   97.40          99.77          974/1000       48888/49000    
128   97.50          99.79          975/1000       48898/49000    
129   98.50          99.87          985/1000       48937/49000    
130   96.80          99.73          968/1000       48868/49000    
131   95.00          99.64          950/1000       48824/49000    
132   97.40          99.87          974/1000       48938/49000    
133   96.40          99.72          964/1000       48865/49000    
134   97.40          99.74          974/1000       48873/49000    
135   97.00          99.76          970/1000       48881/49000    
136   98.00          99.85          980/1000       48926/49000    
137   97.60          99.84          976/1000       48920/49000    
138   97.10          99.79          971/1000       48898/49000    
139   96.40          99.71          964/1000       48859/49000    
140   96.60          99.69          966/1000       48850/49000    
141   96.70          99.74          967/1000       48874/49000    
142   97.00          99.67          970/1000       48838/49000    
143   96.00          99.68          960/1000       48844/49000    
144   96.20          99.71          962/1000       48857/49000    
145   96.40          99.74          964/1000       48871/49000    
146   97.10          99.86          971/1000       48930/49000    
147   97.40          99.79          974/1000       48897/49000    
148   97.60          99.80          976/1000       48903/49000    
149   95.90          99.69          959/1000       48848/49000    
150   97.80          99.83          978/1000       48915/49000    
151   97.10          99.83          971/1000       48919/49000    
152   97.80          99.81          978/1000       48906/49000    
153   96.50          99.62          965/1000       48812/49000    
154   97.10          99.78          971/1000       48892/49000    
155   96.90          99.72          969/1000       48861/49000    
156   96.40          99.76          964/1000       48881/49000    
157   96.90          99.70          969/1000       48853/49000    
158   97.30          99.77          973/1000       48885/49000    
159   97.10          99.76          971/1000       48884/49000    
160   96.30          99.76          963/1000       48884/49000    
161   97.60          99.70          976/1000       48855/49000    
162   97.90          99.75          979/1000       48876/49000    
163   97.50          99.74          975/1000       48874/49000    
164   97.60          99.75          976/1000       48879/49000    
165   97.70          99.81          977/1000       48906/49000    
166   97.10          99.69          971/1000       48848/49000    
167   96.70          99.74          967/1000       48874/49000    
168   95.30          99.66          953/1000       48832/49000    
169   97.10          99.77          971/1000       48885/49000    
170   97.10          99.65          971/1000       48828/49000    
171   93.30          99.60          933/1000       48802/49000    
172   96.60          99.55          966/1000       48781/49000    
173   96.70          99.61          967/1000       48809/49000    
174   97.20          99.77          972/1000       48888/49000    
175   96.50          99.72          965/1000       48861/49000    
176   95.60          99.63          956/1000       48818/49000    
177   96.70          99.76          967/1000       48884/49000    
178   96.70          99.73          967/1000       48866/49000    
179   97.30          99.74          973/1000       48872/49000    
180   97.90          99.76          979/1000       48882/49000    
181   97.10          99.74          971/1000       48871/49000    
182   97.20          99.74          972/1000       48875/49000    
183   96.40          99.66          964/1000       48833/49000    
184   95.80          99.73          958/1000       48869/49000    
185   97.60          99.67          976/1000       48840/49000    
186   96.90          99.82          969/1000       48911/49000    
187   96.90          99.71          969/1000       48859/49000    
188   96.90          99.69          969/1000       48846/49000    
189   98.20          99.82          982/1000       48912/49000    
190   98.20          99.76          982/1000       48882/49000    
191   96.40          99.71          964/1000       48859/49000    
192   96.90          99.76          969/1000       48882/49000    
193   97.70          99.61          977/1000       48809/49000    
194   96.10          99.62          961/1000       48812/49000    
195   97.80          99.83          978/1000       48919/49000    
196   97.60          99.77          976/1000       48888/49000    
197   97.00          99.75          970/1000       48879/49000    
198   97.70          99.75          977/1000       48879/49000    
199   97.40          99.66          974/1000       48835/49000    
200   97.20          99.74          972/1000       48871/49000    

========== Nonogram on 15x15 board with 9k/1k dataset ==========

python main.py --game_size 15 --wandb --gpu 3 --seed 0
Reading ../data/nonogram/nonograms_15.csv...
[nonogram-15] use 9000 for training and 1000 for testing
Using GPU 3
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           70.68          0/1000         159030/225000  
2     0.00           77.18          0/1000         173666/225000  
3     0.00           79.35          0/1000         178537/225000  
4     0.00           80.03          0/1000         180071/225000  
5     0.00           80.75          0/1000         181693/225000  
6     0.00           81.52          0/1000         183425/225000  
7     0.00           82.34          0/1000         185274/225000  
8     0.00           83.38          0/1000         187597/225000  
9     0.00           84.30          0/1000         189668/225000  
10    0.00           84.91          0/1000         191045/225000  
