========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           12.70          0/1000         5685/44775     
2     0.00           21.37          0/1000         9569/44775     
3     0.00           26.96          0/1000         12072/44775    
4     0.00           29.79          0/1000         13339/44775    
5     0.00           34.80          0/1000         15582/44775    
6     0.00           37.10          0/1000         16613/44775    
7     0.00           38.84          0/1000         17392/44775    
8     0.00           43.64          0/1000         19542/44775    
9     0.00           46.39          0/1000         20770/44775    
10    0.00           47.09          0/1000         21083/44775    
11    0.00           48.40          0/1000         21670/44775    
12    0.00           55.10          0/1000         24670/44775    
13    0.00           57.02          0/1000         25531/44775    
14    0.00           57.62          0/1000         25800/44775    
15    0.00           58.33          0/1000         26117/44775    
16    0.00           64.17          0/1000         28731/44775    
17    0.00           65.87          0/1000         29492/44775    
18    0.00           65.78          0/1000         29452/44775    
19    0.00           66.51          0/1000         29781/44775    
20    0.00           66.82          0/1000         29918/44775    
21    0.00           69.34          0/1000         31049/44775    
22    0.00           72.35          0/1000         32394/44775    
23    0.00           75.46          0/1000         33789/44775    
24    0.00           76.50          0/1000         34254/44775    
25    0.00           76.88          0/1000         34422/44775    
26    0.00           76.79          0/1000         34383/44775    
27    0.00           77.66          0/1000         34772/44775    
28    0.00           78.28          0/1000         35051/44775    
29    0.00           78.38          0/1000         35093/44775    
30    0.00           80.35          0/1000         35976/44775    
31    0.10           82.05          1/1000         36740/44775    
32    0.10           83.74          1/1000         37493/44775    
33    0.20           84.93          2/1000         38029/44775    
34    0.40           84.92          4/1000         38022/44775    
35    0.30           85.13          3/1000         38118/44775    
36    0.30           85.47          3/1000         38270/44775    
37    0.20           85.49          2/1000         38279/44775    
38    0.10           85.28          1/1000         38182/44775    
39    0.40           85.54          4/1000         38299/44775    
40    0.40           85.37          4/1000         38223/44775    
41    0.20           85.72          2/1000         38382/44775    
42    0.00           85.79          0/1000         38413/44775    
43    0.60           85.80          6/1000         38417/44775    
44    0.20           86.06          2/1000         38533/44775    
45    0.50           86.98          5/1000         38945/44775    
46    0.70           87.62          7/1000         39232/44775    
47    5.60           90.94          56/1000        40720/44775    
48    10.90          92.83          109/1000       41565/44775    
49    11.70          93.33          117/1000       41790/44775    
50    14.20          93.49          142/1000       41862/44775    
51    12.70          93.62          127/1000       41920/44775    
52    11.60          93.44          116/1000       41836/44775    
53    11.60          93.57          116/1000       41896/44775    
54    12.30          93.48          123/1000       41856/44775    
55    11.50          93.56          115/1000       41890/44775    
56    10.70          93.81          107/1000       42005/44775    
57    11.60          93.95          116/1000       42064/44775    
58    11.30          93.87          113/1000       42032/44775    
59    10.70          93.90          107/1000       42044/44775    
60    14.80          94.26          148/1000       42206/44775    
61    15.40          94.63          154/1000       42371/44775    
62    18.30          95.02          183/1000       42544/44775    
63    40.50          96.96          405/1000       43414/44775    
64    94.10          99.74          941/1000       44657/44775    
65    99.70          99.98          997/1000       44765/44775    
66    99.60          99.99          996/1000       44769/44775    
67    99.80          99.99          998/1000       44769/44775    
68    100.00         100.00         1000/1000      44775/44775    
69    100.00         100.00         1000/1000      44775/44775    
70    100.00         100.00         1000/1000      44775/44775    
71    100.00         100.00         1000/1000      44775/44775    
72    100.00         100.00         1000/1000      44775/44775    
73    100.00         100.00         1000/1000      44775/44775    
74    100.00         100.00         1000/1000      44775/44775    
75    100.00         100.00         1000/1000      44775/44775    
76    100.00         100.00         1000/1000      44775/44775    
77    100.00         100.00         1000/1000      44775/44775    
78    100.00         100.00         1000/1000      44775/44775    
79    100.00         100.00         1000/1000      44775/44775    
80    99.80          99.99          998/1000       44772/44775    
81    100.00         100.00         1000/1000      44775/44775    
82    100.00         100.00         1000/1000      44775/44775    
83    100.00         100.00         1000/1000      44775/44775    
84    100.00         100.00         1000/1000      44775/44775    
85    99.90          99.99          999/1000       44772/44775    
86    99.90          99.99          999/1000       44771/44775    
87    99.90          99.98          999/1000       44767/44775    
88    100.00         100.00         1000/1000      44775/44775    
89    100.00         100.00         1000/1000      44775/44775    
90    100.00         100.00         1000/1000      44775/44775    
